Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,Shares,PosValue,MktPref,P,Promoted
AVGO,Technology,BUY_PULLBACK,BUY_PULLBACK,32,343.94,2307.9,9375426155,1.06,56.4,4.7,SMA50(350.53) 눌림 후 반등(필터 통과),343.94 부근 분할 또는 직전 고가 상향 시,SMA50(350.53) 이탈 또는 Stop 311.58,"MACD 상향크로스, RSI 56",CROSS_UP,RSI 56.4,343.94,311.58,414.61,2.18,12.0,4127.28,0,1,False
SCHW,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,52,107.21,279.2,1039494602,1.01,68.2,2.42,트리거: 105.81 상향 돌파(20D High),105.81 돌파+거래량 동반 시,SMA50(99.99) 이탈 또는 Stop 102.03,"20D high 근접, MACD 상향크로스, RSI 68",CROSS_UP,현재 Vol 1.01x,,,,,,,0,2,False
DIA,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,51,501.22,59.6,3380154631,0.93,67.3,1.24,트리거: 501.67 상향 돌파(20D High),501.67 돌파+거래량 동반 시,SMA50(486.92) 이탈 또는 Stop 488.82,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.93x | ✅ 50~100조 선호,,,,,,,1,2,False
OXY,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,51,46.66,66.8,507298495,0.6,68.5,3.08,트리거: 46.95 상향 돌파(20D High),46.95 돌파+거래량 동반 시,SMA50(42.48) 이탈 또는 Stop 43.79,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 0.60x | ✅ 50~100조 선호,,,,,,,1,2,False
ROST,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,51,194.5,90.8,468737122,0.77,59.9,1.9,트리거: 194.92 상향 돌파(20D High),194.92 돌파+거래량 동반 시,SMA50(185.01) 이탈 또는 Stop 187.10,"20D high 근접, MACD 완만개선, RSI 60",,현재 Vol 0.77x | ✅ 50~100조 선호,,,,,,,1,2,False
FTNT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,49,85.93,92.8,605144607,1.31,72.6,3.66,트리거: 85.06 상향 돌파(20D High),85.06 돌파+거래량 동반 시,SMA50(80.59) 이탈 또는 Stop 79.65,"20D high 근접, Vol 1.3x (약), MACD 완만개선",,현재 Vol 1.31x | ✅ 50~100조 선호,,,,,,,1,2,False
ARM,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,43,124.61,192.3,960163370,0.79,67.4,5.82,트리거: 124.31 상향 돌파(20D High),124.31 돌파+거래량 동반 시,SMA50(118.47) 이탈 또는 Stop 110.11,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.79x,,,,,,,0,2,False
APD,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,41,286.37,92.3,401466812,0.69,74.7,2.31,트리거: 287.81 상향 돌파(20D High),287.81 돌파+거래량 동반 시,SMA50(257.58) 이탈 또는 Stop 273.14,"20D high 근접, MACD 완만개선",,현재 Vol 0.69x | ✅ 50~100조 선호,,,,,,,1,2,False
SPY,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,40,693.95,927.9,59261945592,0.86,63.9,1.19,트리거: 697.84 상향 돌파(20D High),697.84 돌파+거래량 동반 시,SMA50(686.91) 이탈 또는 Stop 677.47,"20D high 근접, RSI 64",,현재 Vol 0.86x,,,,,,,0,2,False
BKR,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,38,59.55,85.2,595308718,0.81,78.8,3.13,트리거: 59.54 상향 돌파(20D High),59.54 돌파+거래량 동반 시,SMA50(50.44) 이탈 또는 Stop 55.82,20D high 근접,,현재 Vol 0.81x | ✅ 50~100조 선호,,,,,,,1,2,False
